ra,fase,turma,nome,ano_nasc,idade_22,genero,ano_ingresso,instituicao_de_ensino,pedra_20,pedra_21,pedra_22,pedra_21_raw,pedra_22_raw,pedra_21_num,pedra_22_num,evolucao_pedra,inde_22,inde_22_num,inde_num,cg,cf,ct,no_av,iaa,ieg,ips,ida,matem,portug,ingles,ipv,ian,ipp,ipp_num,cg_num,iaa_num,ieg_num,ips_num,ida_num,matem_num,portug_num,ingles_num,ipv_num,ian_num,dim_academica,dim_psicossocial,dim_psicopedagogica,sent_score,sent_len,inde_calc,defas,em_risco,avaliador1,rec_av1,avaliador2,rec_av2,avaliador3,rec_av3,avaliador4,rec_av4,rec_psicologia,indicado,atingiu_pv,fase_ideal,destaque_ieg,destaque_ida,destaque_ipv
RA-21,7,D,Aluno-21,2004,18,Menino,2022,Escola Pública,,,Ágata,nan,Ágata,,2,,6.945,6.945,6.945,508.0,9,6,4,9.6,9.2,7.5,3.8,7.0,0.5,,7.25,5.0,8.319987680936249,8.319987680936249,508.0,9.6,9.2,7.5,3.8,7.0,0.5,,7.25,5.0,4.199999999999999,8.6,7.7849938404681245,0,254,7.116998768093625,-1,0,Avaliador-6,Promovido de Fase + Bolsa,Avaliador-27,Mantido na Fase atual,Avaliador-29,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,Não atendido,Sim,Não,Fase 8 (Universitários),Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-22,6,A,Aluno-22,2005,17,Menina,2019,Rede Decisão,Ametista,Ágata,Ametista,Ágata,Ametista,2.0,3,1.0,7.474,7.474,7.474,327.0,10,10,4,8.3,7.4,8.1,6.7,9.0,3.1,7.8,8.833,5.0,7.117339082229751,7.117339082229751,327.0,8.3,7.4,8.1,6.7,9.0,3.1,7.8,8.833,5.0,6.133333333333333,7.860000000000001,7.975169541114877,3,258,7.365033908222976,-1,0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Mantido na Fase + Bolsa,Avaliador-31,Promovido de Fase,Sem limitações,Não,Sim,Fase 7 (3º EM),Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-23,6,A,Aluno-23,2005,17,Menino,2021,Escola Pública,,Ametista,Ametista,Ametista,Ametista,3.0,3,0.0,7.677,7.677,7.677,243.0,8,8,4,8.3,8.2,8.1,6.7,7.2,4.7,8.2,8.556,5.0,7.757930397289806,7.757930397289806,243.0,8.3,8.2,8.1,6.7,7.2,4.7,8.2,8.556,5.0,6.133333333333333,8.18,8.156965198644903,7,264,7.561393039728981,-1,0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,Sem limitações,Sim,Sim,Fase 7 (3º EM),Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-24,6,A,Aluno-24,2005,17,Menina,2021,Rede Decisão,,Topázio,Topázio,Topázio,Topázio,4.0,4,0.0,8.087,8.087,8.087,119.0,5,5,4,9.2,7.9,6.9,8.6,10.0,6.3,9.7,9.111,5.0,8.71881736987989,8.71881736987989,119.0,9.2,7.9,6.9,8.6,10.0,6.3,9.7,9.111,5.0,7.399999999999998,7.76,8.914908684939945,8,259,7.882981736987989,-1,0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,Requer avaliação,Não,Sim,Fase 7 (3º EM),Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-25,6,A,Aluno-25,2005,17,Menina,2021,Escola Pública,,Topázio,Ametista,Topázio,Ametista,4.0,3,-1.0,7.979,7.979,7.979,147.0,6,6,4,8.3,8.3,8.8,6.9,9.2,3.8,7.7,9.667,5.0,8.398521712349861,8.398521712349861,147.0,8.3,8.3,8.8,6.9,9.2,3.8,7.7,9.667,5.0,6.266666666666666,8.5,9.03276085617493,6,256,7.936552171234987,-1,0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,Sem limitações,Sim,Sim,Fase 7 (3º EM),Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-26,6,A,Aluno-26,2005,17,Menino,2022,Escola Pública,,,Topázio,nan,Topázio,,4,,8.677,8.677,8.677,17.0,3,3,4,9.6,8.8,10.0,8.0,9.5,4.4,10.0,10.0,5.0,9.359408684939945,9.359408684939945,17.0,9.6,8.8,10.0,8.0,9.5,4.4,10.0,10.0,5.0,6.999999999999999,9.440000000000001,9.679704342469972,9,259,8.755940868493994,-1,0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Mantido na Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,Sem limitações,Sim,Sim,Fase 7 (3º EM),Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-27,6,A,Aluno-27,2005,17,Menino,2016,Rede Decisão,Topázio,Ametista,Ametista,Ametista,Ametista,3.0,3,0.0,7.124,7.124,7.124,449.0,12,12,4,0.0,7.6,8.1,8.0,7.7,6.3,10.0,9.111,5.0,6.476747767169695,6.476747767169695,449.0,0.0,7.6,8.1,8.0,7.7,6.3,10.0,9.111,5.0,6.999999999999999,6.28,7.7938738835848484,10,261,6.79877477671697,-1,0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,Sem limitações,Não,Sim,Fase 7 (3º EM),Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-28,6,A,Aluno-28,2005,17,Menina,2019,Escola Pública,Ametista,Ametista,Ágata,Ametista,Ágata,3.0,2,-1.0,6.242,6.242,6.242,698.0,14,14,4,7.9,6.1,7.5,5.0,8.2,1.5,5.3,6.333,5.0,5.83615645210964,5.83615645210964,698.0,7.9,6.1,7.5,5.0,8.2,1.5,5.3,6.333,5.0,4.999999999999999,7.02,6.084578226054821,-2,250,6.226915645210964,-1,1,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Promovido de Fase,Requer avaliação,Não,Não,Fase 7 (3º EM),Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
RA-29,6,A,Aluno-29,2005,17,Menino,2022,Escola Pública,,,Quartzo,nan,Quartzo,,1,,4.985,4.985,4.985,821.0,16,16,4,0.0,4.0,8.8,3.7,6.3,1.1,3.8,7.611,5.0,5.195565137049584,5.195565137049584,821.0,0.0,4.0,8.8,3.7,6.3,1.1,3.8,7.611,5.0,4.133333333333334,5.120000000000001,6.4032825685247925,0,263,5.080656513704959,-1,1,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase + Bolsa,Avaliador-28,Mantido na Fase atual,Avaliador-31,Alocado em Fase anterior,Requer avaliação,Sim,Não,Fase 7 (3º EM),Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.
RA-30,6,A,Aluno-30,2006,16,Menina,2021,Escola Pública,,Ametista,Ametista,Ametista,Ametista,3.0,3,0.0,7.605,7.605,7.605,270.0,9,9,4,8.8,6.4,7.5,7.5,8.5,4.4,9.7,7.333,10.0,7.437634739759778,7.437634739759778,270.0,8.8,6.4,7.5,7.5,8.5,4.4,9.7,7.333,10.0,8.333333333333332,7.32,7.385317369879889,2,241,7.637063473975978,0,0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Promovido de Fase,Avaliador-31,Promovido de Fase,Sem limitações,Não,Não,Fase 6 (2º EM),Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.
